row_id,legacy_row_id,seed_qid,seed_label,qid,label,target,prediction,classification,confidence,depth,reaching_property,reaching_property_label
row374,Q105674|Q2312410,Q105674,running,Q2312410,sports discipline,1,1,INCLUDE,0.95,1,P31,instance of
row375,Q105674|Q2167372,Q105674,running,Q2167372,mountain running,1,1,INCLUDE,0.95,1,(-)P279,has subclass
row376,Q105674|Q3694563,Q105674,running,Q3694563,snowshoe running,1,1,INCLUDE,0.9,1,(-)P279,has subclass
row377,Q105674|Q2093999,Q105674,running,Q2093999,trail running,1,1,INCLUDE,0.95,1,(-)P279,has subclass
row378,Q105674|Q349,Q105674,running,Q349,sport,1,1,INCLUDE,0.95,1,P279,subclass of
row379,Q105674|Q12014207,Q105674,running,Q12014207,trekking,1,1,INCLUDE,0.7,2,(-)P279,has subclass
row380,Q105674|Q902378,Q105674,running,Q902378,equestrian sport,0,0,EXCLUDE,0.95,2,(-)P279,has subclass
row381,Q105674|Q212434,Q105674,running,Q212434,Olympic sport,1,1,INCLUDE,0.75,2,(-)P279,has subclass
row382,Q105674|Q17080486,Q105674,running,Q17080486,Twirling,0,0,EXCLUDE,0.95,2,(-)P279,has subclass
row383,Q105674|Q792635,Q105674,running,Q792635,axe throwing,0,0,EXCLUDE,0.95,2,(-)P279,has subclass
row384,Q105674|Q15621650,Q105674,running,Q15621650,skiing,0,0,EXCLUDE,0.9,2,(-)P279,has subclass
row218,Q1060165|Q210167,Q1060165,Riot Games,Q210167,video game developer,1,1,INCLUDE,0.99,1,P31,instance of
row219,Q11020|Q2312410,Q11020,pool,Q2312410,sports discipline,1,1,INCLUDE,0.95,1,P31,instance of
row220,Q11020|Q3341285,Q11020,pool,Q3341285,cue sports,1,1,INCLUDE,0.95,1,P279,subclass of
row221,Q11020|Q2060479,Q11020,pool,Q2060479,eight-ball,1,1,INCLUDE,0.95,1,(-)P279,has subclass
row222,Q11020|Q5179579,Q11020,pool,Q5179579,Cowboy pool,1,1,INCLUDE,0.95,1,(-)P279,has subclass
row223,Q11020|Q10526896,Q11020,pool,Q10526896,Hugg,0,0,EXCLUDE,0.95,2,(-)P279,has subclass
row224,Q11020|Q94619648,Q11020,pool,Q94619648,women's team pursuit,0,0,EXCLUDE,0.98,2,(-)P279,has subclass
row225,Q11020|Q917562,Q11020,pool,Q917562,carom billiards,1,1,INCLUDE,0.95,2,(-)P279,has subclass
row226,Q11020|Q40679812,Q11020,pool,Q40679812,running target shooting,0,0,EXCLUDE,0.98,2,(-)P279,has subclass
row227,Q11020|Q96679888,Q11020,pool,Q96679888,sport discipline at a sport event,0,0,EXCLUDE,0.85,2,(-)P279,has subclass
row228,Q11020|Q2072840,Q11020,pool,Q2072840,CrossFit,0,0,EXCLUDE,0.95,2,(-)P279,has subclass
row229,Q11020|Q27907674,Q11020,pool,Q27907674,girls' singles,0,0,EXCLUDE,0.95,2,(-)P279,has subclass
row230,Q11020|Q5100758,Q11020,pool,Q5100758,Chinese eight-ball,1,1,INCLUDE,0.95,2,(-)P279,has subclass
row231,Q11020|Q4208733,Q11020,pool,Q4208733,Kaisa,1,1,INCLUDE,0.95,2,(-)P279,has subclass
row232,Q11020|Q52177345,Q11020,pool,Q52177345,field sport,0,0,EXCLUDE,0.97,2,(-)P279,has subclass
row233,Q11020|Q11015,Q11020,pool,Q11015,snooker,1,1,INCLUDE,0.95,2,(-)P279,has subclass
row234,Q11020|Q27907692,Q11020,pool,Q27907692,girls' doubles,0,0,EXCLUDE,0.92,2,(-)P279,has subclass
row235,Q11020|Q455347,Q11020,pool,Q455347,variation of basketball,0,0,EXCLUDE,0.98,2,(-)P279,has subclass
row236,Q11020|Q94620117,Q11020,pool,Q94620117,men's team pursuit,0,0,EXCLUDE,0.98,2,(-)P279,has subclass
row237,Q11020|Q5580558,Q11020,pool,Q5580558,golf billiards,1,1,INCLUDE,0.95,2,(-)P279,has subclass
row238,Q11020|Q677423,Q11020,pool,Q677423,drifting,0,0,EXCLUDE,0.99,2,(-)P279,has subclass
row239,Q11020|Q5728609,Q11020,pool,Q5728609,spanish pool,1,1,INCLUDE,0.95,2,(-)P279,has subclass
row240,Q11020|Q50386068,Q11020,pool,Q50386068,youth mixed doubles,0,0,EXCLUDE,0.92,2,(-)P279,has subclass
row241,Q11020|Q27907702,Q11020,pool,Q27907702,boys' singles,0,0,EXCLUDE,0.92,2,(-)P279,has subclass
row243,Q11020|Q967318,Q11020,pool,Q967318,Blackball,1,1,INCLUDE,0.95,2,(-)P279,has subclass
row244,Q11020|Q27907716,Q11020,pool,Q27907716,boys' doubles,0,0,EXCLUDE,0.92,2,(-)P279,has subclass
row245,Q11020|Q1324916,Q11020,pool,Q1324916,English billiards,1,1,INCLUDE,0.95,2,(-)P279,has subclass
row247,Q11020|Q2165733,Q11020,pool,Q2165733,Snooker plus,1,1,INCLUDE,0.9,3,(-)P279,has subclass
row248,Q11020|Q512270,Q11020,pool,Q512270,Five-pin billiards,1,1,INCLUDE,0.9,3,(-)P279,has subclass
row95,Q1139866|Q7889,Q1139866,Dofus,Q7889,video game,1,1,INCLUDE,0.98,1,P31,instance of
row96,Q1139866|Q55588631,Q1139866,Dofus,Q55588631,Pokémon video game,0,0,EXCLUDE,0.95,2,(-)P279,has subclass
row97,Q1139866|Q54767,Q1139866,Dofus,Q54767,puzzle video game,0,0,EXCLUDE,0.9,2,(-)P279,has subclass
row98,Q1139866|Q16021388,Q1139866,Dofus,Q16021388,alien video game,0,0,EXCLUDE,0.95,2,(-)P279,has subclass
row99,Q1139866|Q4485157,Q1139866,Dofus,Q4485157,PC game,1,1,INCLUDE,0.95,2,(-)P279,has subclass
row100,Q1139866|Q89691527,Q1139866,Dofus,Q89691527,Xbox Original,0,0,EXCLUDE,0.95,2,(-)P279,has subclass
row101,Q1139866|Q65073088,Q1139866,Dofus,Q65073088,Nintendo Gateway System,0,0,EXCLUDE,0.95,2,(-)P279,has subclass
row102,Q1139866|Q67016067,Q1139866,Dofus,Q67016067,card battle video game,0,0,EXCLUDE,0.85,2,(-)P279,has subclass
row103,Q1139866|Q6895044,Q1139866,Dofus,Q6895044,multiplayer video game,1,1,INCLUDE,0.95,2,(-)P279,has subclass
row104,Q1139866|Q7927920,Q1139866,Dofus,Q7927920,video games in education,0,0,EXCLUDE,0.95,2,(-)P279,has subclass
row105,Q1139866|Q28004621,Q1139866,Dofus,Q28004621,SMS TV game,0,0,EXCLUDE,0.95,2,(-)P279,has subclass
row106,Q1139866|Q116634,Q1139866,Dofus,Q116634,online game,1,1,INCLUDE,0.95,2,(-)P279,has subclass
