row_id,legacy_row_id,seed_qid,seed_label,qid,label,target,csv_depth,bfs_depth,parent_qid,parent_label,reaching_property,reaching_property_label,path
row3020,Q1017587|Q4830453,Q1017587,Business Objects,Q4830453,business,1,1,1,Q1017587,Business Objects,P31,instance of,Business Objects --instance of--> business
row3021,Q1017587|Q6881511,Q1017587,Business Objects,Q6881511,enterprise,1,1,1,Q1017587,Business Objects,P31,instance of,Business Objects --instance of--> enterprise
row3022,Q1017587|Q1132207,Q1017587,Business Objects,Q1132207,business incubator,0,2,2,Q4830453,business,(-)P279,has subclass,Business Objects --instance of--> business --has subclass--> business incubator
row3023,Q1017587|Q16968466,Q1017587,Business Objects,Q16968466,regional health authority,0,2,2,Q4830453,business,(-)P279,has subclass,Business Objects --instance of--> business --has subclass--> regional health authority
row3024,Q1017587|Q2566474,Q1017587,Business Objects,Q2566474,sutler,0,2,2,Q4830453,business,(-)P279,has subclass,Business Objects --instance of--> business --has subclass--> sutler
row3025,Q1017587|Q220142,Q1017587,Business Objects,Q220142,pet store,0,2,2,Q4830453,business,(-)P279,has subclass,Business Objects --instance of--> business --has subclass--> pet store
row3026,Q1017587|Q3591545,Q1017587,Business Objects,Q3591545,financial service company,0,2,2,Q6881511,enterprise,(-)P279,has subclass,Business Objects --instance of--> enterprise --has subclass--> financial service company
row3027,Q1017587|Q161726,Q1017587,Business Objects,Q161726,multinational corporation,0,2,2,Q4830453,business,(-)P279,has subclass,Business Objects --instance of--> business --has subclass--> multinational corporation
row3028,Q1017587|Q105547053,Q1017587,Business Objects,Q105547053,UK cable company,0,2,2,Q4830453,business,(-)P279,has subclass,Business Objects --instance of--> business --has subclass--> UK cable company
row3029,Q1017587|Q1058914,Q1017587,Business Objects,Q1058914,software company,0,2,2,Q4830453,business,(-)P279,has subclass,Business Objects --instance of--> business --has subclass--> software company
row3030,Q1017587|Q7830259,Q1017587,Business Objects,Q7830259,Township and Village Enterprises,0,2,2,Q4830453,business,(-)P279,has subclass,Business Objects --instance of--> business --has subclass--> Township and Village Enterprises
row3031,Q1017587|Q25112142,Q1017587,Business Objects,Q25112142,dental service organization,0,2,2,Q4830453,business,(-)P279,has subclass,Business Objects --instance of--> business --has subclass--> dental service organization
row4802,Q1026962|Q11862829,Q1026962,digital humanities,Q11862829,academic discipline,1,1,1,Q1026962,digital humanities,P31,instance of,digital humanities --instance of--> academic discipline
row4803,Q1026962|Q2465832,Q1026962,digital humanities,Q2465832,branch of science,1,1,1,Q1026962,digital humanities,P31,instance of,digital humanities --instance of--> branch of science
row4804,Q1026962|Q64812921,Q1026962,digital humanities,Q64812921,Computing Science,1,2,2,Q11862829,academic discipline,(-)P279,has subclass,digital humanities --instance of--> academic discipline --has subclass--> Computing Science
row4805,Q1026962|Q2001056,Q1026962,digital humanities,Q2001056,land management,0,2,2,Q11862829,academic discipline,(-)P279,has subclass,digital humanities --instance of--> academic discipline --has subclass--> land management
row4806,Q1026962|Q64801099,Q1026962,digital humanities,Q64801099,Early Childhood Education and Care,0,2,2,Q11862829,academic discipline,(-)P279,has subclass,digital humanities --instance of--> academic discipline --has subclass--> Early Childhood Education and Care
row4807,Q1026962|Q65054879,Q1026962,digital humanities,Q65054879,Mediterranean studies,0,2,2,Q11862829,academic discipline,(-)P279,has subclass,digital humanities --instance of--> academic discipline --has subclass--> Mediterranean studies
row4808,Q1026962|Q66593259,Q1026962,digital humanities,Q66593259,branch of biotechnology,0,2,2,Q2465832,branch of science,(-)P279,has subclass,digital humanities --instance of--> branch of science --has subclass--> branch of biotechnology
row4809,Q1026962|Q57204579,Q1026962,digital humanities,Q57204579,social ecology,0,2,2,Q11862829,academic discipline,(-)P279,has subclass,digital humanities --instance of--> academic discipline --has subclass--> social ecology
row4810,Q1026962|Q60310061,Q1026962,digital humanities,Q60310061,branch of theology,0,2,2,Q11862829,academic discipline,(-)P279,has subclass,digital humanities --instance of--> academic discipline --has subclass--> branch of theology
row4811,Q1026962|Q184784,Q1026962,digital humanities,Q184784,architectural drawing,0,2,2,Q11862829,academic discipline,(-)P279,has subclass,digital humanities --instance of--> academic discipline --has subclass--> architectural drawing
row4812,Q1026962|Q64800624,Q1026962,digital humanities,Q64800624,Language tracks,0,2,2,Q11862829,academic discipline,(-)P279,has subclass,digital humanities --instance of--> academic discipline --has subclass--> Language tracks
row4813,Q1026962|Q28598684,Q1026962,digital humanities,Q28598684,branch of biology,0,2,2,Q2465832,branch of science,(-)P279,has subclass,digital humanities --instance of--> branch of science --has subclass--> branch of biology
row4814,Q1026962|Q109425807,Q1026962,digital humanities,Q109425807,cultural well-being,0,2,2,Q11862829,academic discipline,(-)P279,has subclass,digital humanities --instance of--> academic discipline --has subclass--> cultural well-being
row4815,Q1026962|Q6168352,Q1026962,digital humanities,Q6168352,jazz education,0,2,2,Q11862829,academic discipline,(-)P279,has subclass,digital humanities --instance of--> academic discipline --has subclass--> jazz education
row4816,Q1026962|Q64808276,Q1026962,digital humanities,Q64808276,Vernacular Language (Cook Islands Máori),0,2,2,Q11862829,academic discipline,(-)P279,has subclass,digital humanities --instance of--> academic discipline --has subclass--> Vernacular Language (Cook Islands Máori)
row821,Q10290274|Q11016,Q10290274,Gmsk,Q11016,technology,1,1,1,Q10290274,Gmsk,P31,instance of,Gmsk --instance of--> technology
row822,Q10290274|Q1780543,Q10290274,Gmsk,Q1780543,communication technology,1,2,2,Q11016,technology,(-)P279,has subclass,Gmsk --instance of--> technology --has subclass--> communication technology
row823,Q10290274|Q743030,Q10290274,Gmsk,Q743030,environmental technology,0,2,2,Q11016,technology,(-)P279,has subclass,Gmsk --instance of--> technology --has subclass--> environmental technology
row824,Q10290274|Q10690328,Q10290274,Gmsk,Q10690328,speech technology,1,2,2,Q11016,technology,(-)P279,has subclass,Gmsk --instance of--> technology --has subclass--> speech technology
row825,Q10290274|Q466410,Q10290274,Gmsk,Q466410,high tech,1,2,2,Q11016,technology,(-)P279,has subclass,Gmsk --instance of--> technology --has subclass--> high tech
row826,Q10290274|Q54006339,Q10290274,Gmsk,Q54006339,display technology,0,2,2,Q11016,technology,(-)P279,has subclass,Gmsk --instance of--> technology --has subclass--> display technology
row828,Q10290274|Q1001378,Q10290274,Gmsk,Q1001378,cinematic technique,0,2,2,Q11016,technology,(-)P279,has subclass,Gmsk --instance of--> technology --has subclass--> cinematic technique
row829,Q10290274|Q19292902,Q10290274,Gmsk,Q19292902,vehicle safety technology,0,2,2,Q11016,technology,(-)P279,has subclass,Gmsk --instance of--> technology --has subclass--> vehicle safety technology
row830,Q10290274|Q1415656,Q10290274,Gmsk,Q1415656,hierarchical storage management,0,2,2,Q11016,technology,(-)P279,has subclass,Gmsk --instance of--> technology --has subclass--> hierarchical storage management
row831,Q10290274|Q348091,Q10290274,Gmsk,Q348091,nuclear technology,0,2,2,Q11016,technology,(-)P279,has subclass,Gmsk --instance of--> technology --has subclass--> nuclear technology
row832,Q10290274|Q1628173,Q10290274,Gmsk,Q1628173,directional boring,0,2,2,Q11016,technology,(-)P279,has subclass,Gmsk --instance of--> technology --has subclass--> directional boring
row834,Q10290274|Q211017,Q10290274,Gmsk,Q211017,e-government,0,2,2,Q11016,technology,(-)P279,has subclass,Gmsk --instance of--> technology --has subclass--> e-government
row835,Q10290274|Q6887246,Q10290274,Gmsk,Q6887246,mobile technology,1,2,2,Q11016,technology,(-)P279,has subclass,Gmsk --instance of--> technology --has subclass--> mobile technology
row836,Q10290274|Q5268834,Q10290274,Gmsk,Q5268834,information and communications technology,1,2,2,Q11016,technology,(-)P279,has subclass,Gmsk --instance of--> technology --has subclass--> information and communications technology
row837,Q10290274|Q23001701,Q10290274,Gmsk,Q23001701,technics,1,2,2,Q11016,technology,(-)P279,has subclass,Gmsk --instance of--> technology --has subclass--> technics
row3269,Q10322548|Q15836568,Q10322548,MQTT,Q15836568,computer network protocol,1,1,1,Q10322548,MQTT,P31,instance of,MQTT --instance of--> computer network protocol
row3270,Q10322548|Q1422324,Q10322548,MQTT,Q1422324,Telecommunications Management Network,1,2,2,Q15836568,computer network protocol,(-)P279,has subclass,MQTT --instance of--> computer network protocol --has subclass--> Telecommunications Management Network
row3271,Q10322548|Q8795,Q10322548,MQTT,Q8795,Internet Protocol,1,2,2,Q15836568,computer network protocol,(-)P279,has subclass,MQTT --instance of--> computer network protocol --has subclass--> Internet Protocol
row3272,Q10322548|Q81414,Q10322548,MQTT,Q81414,Internet protocol suite,1,2,2,Q15836568,computer network protocol,(-)P279,has subclass,MQTT --instance of--> computer network protocol --has subclass--> Internet protocol suite
row217,Q104534|Q317623,Q104534,digital subscriber line,Q317623,technical standard,1,1,1,Q104534,digital subscriber line,P31,instance of,digital subscriber line --instance of--> technical standard
row218,Q104534|Q11016,Q104534,digital subscriber line,Q11016,technology,1,1,1,Q104534,digital subscriber line,P31,instance of,digital subscriber line --instance of--> technology
row219,Q104534|Q1780543,Q104534,digital subscriber line,Q1780543,communication technology,1,2,2,Q11016,technology,(-)P279,has subclass,digital subscriber line --instance of--> technology --has subclass--> communication technology
row220,Q104534|Q2309650,Q104534,digital subscriber line,Q2309650,MPEG-3,0,2,2,Q317623,technical standard,(-)P279,has subclass,digital subscriber line --instance of--> technical standard --has subclass--> MPEG-3
row221,Q104534|Q105990004,Q104534,digital subscriber line,Q105990004,UNIX 95,0,2,2,Q317623,technical standard,(-)P279,has subclass,digital subscriber line --instance of--> technical standard --has subclass--> UNIX 95
row222,Q104534|Q105990097,Q104534,digital subscriber line,Q105990097,UNIX 93,0,2,2,Q317623,technical standard,(-)P279,has subclass,digital subscriber line --instance of--> technical standard --has subclass--> UNIX 93
row223,Q104534|Q375479,Q104534,digital subscriber line,Q375479,standard illuminant,0,2,2,Q317623,technical standard,(-)P279,has subclass,digital subscriber line --instance of--> technical standard --has subclass--> standard illuminant
row224,Q104534|Q11362401,Q104534,digital subscriber line,Q11362401,International standard,1,2,2,Q317623,technical standard,(-)P279,has subclass,digital subscriber line --instance of--> technical standard --has subclass--> International standard
row225,Q104534|Q6887246,Q104534,digital subscriber line,Q6887246,mobile technology,1,2,2,Q11016,technology,(-)P279,has subclass,digital subscriber line --instance of--> technology --has subclass--> mobile technology
row226,Q104534|Q5268834,Q104534,digital subscriber line,Q5268834,information and communications technology,1,2,2,Q11016,technology,(-)P279,has subclass,digital subscriber line --instance of--> technology --has subclass--> information and communications technology
row227,Q104534|Q51885764,Q104534,digital subscriber line,Q51885764,European standard,1,2,2,Q317623,technical standard,(-)P279,has subclass,digital subscriber line --instance of--> technical standard --has subclass--> European standard
row4513,Q1046079|Q2674461,Q1046079,1G,Q2674461,mobile phone generation,1,1,1,Q1046079,1G,P31,instance of,1G --instance of--> mobile phone generation
row2248,Q104851|Q17155032,Q104851,firmware,Q17155032,software category,1,1,1,Q104851,firmware,P31,instance of,firmware --instance of--> software category
row2249,Q104851|Q1074158,Q104851,firmware,Q1074158,educational software,0,2,2,Q17155032,software category,(-)P279,has subclass,firmware --instance of--> software category --has subclass--> educational software
row3907,Q1052698|Q11306265,Q1052698,jitter,Q11306265,noise,1,1,1,Q1052698,jitter,P279,subclass of,jitter --subclass of--> noise
row3908,Q1052698|Q1503574,Q1052698,jitter,Q1503574,shot noise,1,2,2,Q11306265,noise,(-)P279,has subclass,jitter --subclass of--> noise --has subclass--> shot noise
row3909,Q1052698|Q1323086,Q1052698,jitter,Q1323086,image noise,1,2,2,Q11306265,noise,(-)P279,has subclass,jitter --subclass of--> noise --has subclass--> image noise
row3910,Q1052698|Q2133491,Q1052698,jitter,Q2133491,seismic noise,0,2,2,Q11306265,noise,(-)P279,has subclass,jitter --subclass of--> noise --has subclass--> seismic noise
row2174,Q1054787|Q4830453,Q1054787,Nippon Telegraph and Telephone,Q4830453,business,1,1,1,Q1054787,Nippon Telegraph and Telephone,P31,instance of,Nippon Telegraph and Telephone --instance of--> business
row2175,Q1054787|Q6881511,Q1054787,Nippon Telegraph and Telephone,Q6881511,enterprise,1,1,1,Q1054787,Nippon Telegraph and Telephone,P31,instance of,Nippon Telegraph and Telephone --instance of--> enterprise
row2176,Q1054787|Q891723,Q1054787,Nippon Telegraph and Telephone,Q891723,public company,1,1,1,Q1054787,Nippon Telegraph and Telephone,P31,instance of,Nippon Telegraph and Telephone --instance of--> public company
row2177,Q1054787|Q30688741,Q1054787,Nippon Telegraph and Telephone,Q30688741,virtual restaurant,0,2,2,Q4830453,business,(-)P279,has subclass,Nippon Telegraph and Telephone --instance of--> business --has subclass--> virtual restaurant
row2178,Q1054787|Q811404,Q1054787,Nippon Telegraph and Telephone,Q811404,Bauhof,0,2,2,Q4830453,business,(-)P279,has subclass,Nippon Telegraph and Telephone --instance of--> business --has subclass--> Bauhof
row2179,Q1054787|Q11885129,Q1054787,Nippon Telegraph and Telephone,Q11885129,artist agency,0,2,2,Q4830453,business,(-)P279,has subclass,Nippon Telegraph and Telephone --instance of--> business --has subclass--> artist agency
row2180,Q1054787|Q1266169,Q1054787,Nippon Telegraph and Telephone,Q1266169,telephone company,1,2,2,Q4830453,business,(-)P279,has subclass,Nippon Telegraph and Telephone --instance of--> business --has subclass--> telephone company
row2181,Q1054787|Q96603167,Q1054787,Nippon Telegraph and Telephone,Q96603167,tourism agency,0,2,2,Q4830453,business,(-)P279,has subclass,Nippon Telegraph and Telephone --instance of--> business --has subclass--> tourism agency
row2182,Q1054787|Q220142,Q1054787,Nippon Telegraph and Telephone,Q220142,pet store,0,2,2,Q4830453,business,(-)P279,has subclass,Nippon Telegraph and Telephone --instance of--> business --has subclass--> pet store
row2183,Q1054787|Q3591545,Q1054787,Nippon Telegraph and Telephone,Q3591545,financial service company,0,2,2,Q6881511,enterprise,(-)P279,has subclass,Nippon Telegraph and Telephone --instance of--> enterprise --has subclass--> financial service company
