row_id,legacy_row_id,fold,from,starting label,QID,label,depth,target,prediction,correct,reached,decision_source,model_depth
row0,Q11163|Q290378,4,Q11163,User Datagram Protocol,Q290378,internet standard,1,1,1,1,True,model,1
row1,Q11163|Q15836568,4,Q11163,User Datagram Protocol,Q15836568,computer network protocol,1,1,1,1,True,model,1
row2,Q11163|Q1422324,4,Q11163,User Datagram Protocol,Q1422324,Telecommunications Management Network,2,1,0,0,True,model,2
row3,Q189620|Q15836568,2,Q189620,SOAP,Q15836568,computer network protocol,1,1,1,1,True,model,1
row4,Q189620|Q3359815,2,Q189620,SOAP,Q3359815,PPPoX,2,0,0,1,True,model,2
row5,Q189620|Q8777,2,Q189620,SOAP,Q8777,Hypertext Transfer Protocol,2,1,1,1,True,model,2
row6,Q189620|Q5013874,2,Q189620,SOAP,Q5013874,CRFS (Coherent Remote File System),2,0,0,1,True,model,2
row7,Q189620|Q2622793,2,Q189620,SOAP,Q2622793,JetDirect,2,0,0,1,True,model,2
row8,Q166074|Q317623,4,Q166074,Extensible HyperText Markup Language,Q317623,technical standard,1,1,1,1,True,model,1
row9,Q166074|Q20155966,4,Q166074,Extensible HyperText Markup Language,Q20155966,XML-based format,1,1,1,1,True,model,1
row10,Q166074|Q2661442,4,Q166074,Extensible HyperText Markup Language,Q2661442,W3C Recommendation,2,1,0,0,True,model,2
row11,Q166074|Q3343904,4,Q166074,Extensible HyperText Markup Language,Q3343904,standards of Switzerland,2,0,0,1,True,model,2
row12,Q166074|Q39050366,4,Q166074,Extensible HyperText Markup Language,Q39050366,construction standard,2,0,0,1,True,model,2
row13,Q166074|Q2309650,4,Q166074,Extensible HyperText Markup Language,Q2309650,MPEG-3,2,0,0,1,True,model,2
row14,Q166074|Q12623246,4,Q166074,Extensible HyperText Markup Language,Q12623246,Korean Industrial Standards,2,0,0,1,True,model,2
row16,Q166074|Q996023,4,Q166074,Extensible HyperText Markup Language,Q996023,directory structure,2,0,0,1,True,model,2
row18,Q166074|Q1779838,4,Q166074,Extensible HyperText Markup Language,Q1779838,accounting standard,2,0,0,1,True,model,2
row19,Q166074|Q45941145,4,Q166074,Extensible HyperText Markup Language,Q45941145,data standard,2,0,0,1,True,model,2
row20,Q166074|Q52162337,4,Q166074,Extensible HyperText Markup Language,Q52162337,national standard,2,0,0,1,True,model,2
row21,Q166074|Q1091326,4,Q166074,Extensible HyperText Markup Language,Q1091326,IT security standards,2,0,0,1,True,model,2
row22,Q166074|Q375479,4,Q166074,Extensible HyperText Markup Language,Q375479,standard illuminant,2,0,0,1,True,model,2
row23,Q166074|Q2141493,4,Q166074,Extensible HyperText Markup Language,Q2141493,OpenPGP,2,0,0,1,True,model,2
row25,Q166074|Q26763979,4,Q166074,Extensible HyperText Markup Language,Q26763979,mobile phone network standard,2,0,0,1,True,model,2
row27,Q166074|Q1155472,4,Q166074,Extensible HyperText Markup Language,Q1155472,8 mm video format,2,0,0,1,True,model,2
row28,Q166074|Q290378,4,Q166074,Extensible HyperText Markup Language,Q290378,internet standard,2,1,0,0,True,model,2
row29,Q166074|Q58184783,4,Q166074,Extensible HyperText Markup Language,Q58184783,electrical connector system,2,0,0,1,True,model,2
row31,Q166074|Q576465,4,Q166074,Extensible HyperText Markup Language,Q576465,GPS eXchange Format,2,0,1,0,True,model,2
row33,Q166074|Q5100562,4,Q166074,Extensible HyperText Markup Language,Q5100562,Chinese National Standards,2,0,0,1,True,model,2
row34,Q166074|Q6313217,4,Q166074,Extensible HyperText Markup Language,Q6313217,time standard,2,0,0,1,True,model,2
row35,Q166074|Q51885764,4,Q166074,Extensible HyperText Markup Language,Q51885764,European standard,2,0,0,1,True,model,2
row36,Q341|Q49773,4,Q341,free software,Q49773,social movement,1,0,1,0,True,model,1
row37,Q341|Q17155032,4,Q341,free software,Q17155032,software category,1,1,1,1,True,model,1
row38,Q341|Q487365,4,Q341,free software,Q487365,gateway,2,0,0,1,True,model,2
row39,Q1061166|Q166142,2,Q1061166,data mart,Q166142,application,1,1,1,1,True,model,1
row40,Q1061166|Q131212,2,Q1061166,data mart,Q131212,text editor,2,0,0,1,True,model,2
row41,Q1061166|Q860676,2,Q1061166,data mart,Q860676,image viewer,2,0,0,1,True,model,2
row43,Q1061166|Q925622,2,Q1061166,data mart,Q925622,knowledge-based configuration,2,0,0,1,True,model,2
row44,Q1061166|Q30047053,2,Q1061166,data mart,Q30047053,web archive,2,0,0,1,True,model,2
row45,Q1061166|Q2115026,2,Q1061166,data mart,Q2115026,presentation program,2,0,0,1,True,model,2
row46,Q1061166|Q5227393,2,Q1061166,data mart,Q5227393,database application,2,1,0,0,True,model,2
row47,Q1061166|Q15618491,2,Q1061166,data mart,Q15618491,speech synthesis software‎,2,0,0,1,True,model,2
row48,Q1061166|Q453843,2,Q1061166,data mart,Q453843,ontology editor,2,0,0,1,True,model,2
row49,Q251212|Q151885,2,Q251212,internet of things,Q151885,concept,1,1,1,1,True,model,1
row50,Q251212|Q24457356,2,Q251212,internet of things,Q24457356,historiographical concept,2,0,0,1,True,model,2
row51,Q251212|Q21651927,2,Q251212,internet of things,Q21651927,sacred,2,0,0,1,True,model,2
row52,Q251212|Q188520,2,Q251212,internet of things,Q188520,classical element,2,0,0,1,True,model,2
row53,Q251212|Q33104279,2,Q251212,internet of things,Q33104279,philosophical concept,2,0,0,1,True,model,2
row56,Q251212|Q24339576,2,Q251212,internet of things,Q24339576,Norse concept,2,0,0,1,True,model,2
row58,Q251212|Q24034552,2,Q251212,internet of things,Q24034552,mathematical concept,2,0,0,1,True,model,2
row59,Q251212|Q131841,2,Q251212,internet of things,Q131841,idea,2,0,0,1,True,model,2
row60,Q251212|Q200230,2,Q251212,internet of things,Q200230,classical element,2,0,0,1,True,model,2
row61,Q251212|Q2890061,2,Q251212,internet of things,Q2890061,special case,2,0,0,1,True,model,2
row62,Q66175|Q340169,2,Q66175,telex,Q340169,media,1,1,1,1,True,model,1
row63,Q66175|Q3246542,2,Q66175,telex,Q3246542,Vexilloid,2,0,0,1,True,model,2
row64,Q66175|Q386274,2,Q66175,telex,Q386274,emailing,2,0,0,1,True,model,2
row65,Q66175|Q1002697,2,Q66175,telex,Q1002697,periodical,2,0,0,1,True,model,2
row66,Q66175|Q1640824,2,Q66175,telex,Q1640824,inscription,2,0,0,1,True,model,2
row67,Q66175|Q3631847,2,Q66175,telex,Q3631847,voice chat in online gaming,2,0,0,1,True,model,2
row68,Q66175|Q7189615,2,Q66175,telex,Q7189615,physical media,2,0,0,1,True,model,2
row69,Q66175|Q806880,2,Q66175,telex,Q806880,banner,2,0,0,1,True,model,2
row70,Q66175|Q11033,2,Q66175,telex,Q11033,mass media,2,0,0,1,True,model,2
row71,Q66175|Q6423319,2,Q66175,telex,Q6423319,knowledge organization system,2,0,0,1,True,model,2
row72,Q66175|Q354004,2,Q66175,telex,Q354004,audio storage device,2,0,0,1,True,model,2
row73,Q147638|Q1665984,0,Q147638,cognitive science,Q1665984,interdisciplinary science,1,1,1,1,True,model,1
row74,Q147638|Q11862829,0,Q147638,cognitive science,Q11862829,academic discipline,1,1,1,1,True,model,1
row75,Q3105497|Q3550873,1,Q3105497,gigabit,Q3550873,unit of information,1,1,1,1,True,model,1
row76,Q3105497|Q726868,1,Q3105497,gigabit,Q726868,datagram,2,0,0,1,True,model,2
