dataset,method_family,model,prompt_strategy,configuration_id,display_name,source_file,source_rows,aligned_rows,excluded_nonruntime_rows,fold_0_rows,fold_1_rows,fold_2_rows,fold_3_rows,fold_4_rows,weighted_precision,weighted_std_precision,weighted_recall,weighted_std_recall,weighted_f1,weighted_std_f1,weighted_accuracy,weighted_std_accuracy,pooled_total,pooled_unmatched,pooled_tp,pooled_fp,pooled_fn,pooled_tn,pooled_precision,pooled_recall,pooled_f1,pooled_accuracy
1,baseline,LSTM,,baseline_lstm,LSTM,reproduction/results/decisions/dataset1_lstm_dataset1_config.csv,4400,4400,0,916,800,965,833,886,0.7552925983046296,0.05847833620372269,0.7519328559571938,0.09494584575040461,0.74586217108011,0.01721498981579361,0.8152272727272727,0.02836745567578284,4400,0,1206,418,395,2381,0.7426108374384236,0.7532792004996877,0.747906976744186,0.8152272727272727
1,baseline,Path Analogy,,baseline_path_analogy,Path Analogy,reproduction/results/decisions/dataset1_path_analogy_dataset1_config.csv,4400,4400,0,916,800,965,833,886,0.808390422143029,0.07095236264322986,0.6798121854065314,0.06193345481773047,0.7343592291071958,0.041312791688332844,0.8195454545454546,0.051475847291733025,4400,0,1095,288,506,2511,0.7917570498915402,0.683947532792005,0.7339142091152816,0.8195454545454546
1,subkg_extractor,gemini-3.5-flash,zero_shot_manual,subkg_gemini-3.5-flash_zero_shot_manual,gemini-3.5-flash / zero_shot_manual,meta-prompting/results/gemini-3.5-flash/dataset1/zero_shot_manual/bfs_gated_predictions.csv,5050,4400,650,916,800,965,833,886,0.8576173752527422,0.008769007736874158,0.7573432557371054,0.043064071009990504,0.8038477885237106,0.026130738901719675,0.8663636363636363,0.024705613090580694,4400,0,1215,202,386,2597,0.8574453069865914,0.7589006870705809,0.8051689860834991,0.8663636363636363
1,subkg_extractor,gemini-3.5-flash,few_shot_manual,subkg_gemini-3.5-flash_few_shot_manual,gemini-3.5-flash / few_shot_manual,meta-prompting/results/gemini-3.5-flash/dataset1/few_shot_manual/bfs_gated_predictions.csv,5050,4400,650,916,800,965,833,886,0.8546565232238411,0.0234820230033134,0.7707050847763522,0.02901467951222852,0.8102953349597074,0.023574314138747582,0.8695454545454545,0.022149413927026237,4400,0,1235,208,366,2591,0.8558558558558559,0.7713928794503435,0.8114323258869909,0.8695454545454545
1,subkg_extractor,gemini-3.5-flash,zero_shot_meta,subkg_gemini-3.5-flash_zero_shot_meta,gemini-3.5-flash / zero_shot_meta,meta-prompting/results/gemini-3.5-flash/dataset1/zero_shot_meta/bfs_gated_predictions.csv,5050,4400,650,916,800,965,833,886,0.770021170725994,0.04478237463401021,0.6511621569884807,0.04212317044662813,0.7054297204747566,0.04198579327011093,0.8054545454545454,0.019492065474826396,4400,0,1050,305,551,2494,0.7749077490774908,0.655840099937539,0.7104194857916103,0.8054545454545454
1,subkg_extractor,gemini-3.5-flash,few_shot_meta,subkg_gemini-3.5-flash_few_shot_meta,gemini-3.5-flash / few_shot_meta,meta-prompting/results/gemini-3.5-flash/dataset1/few_shot_meta/bfs_gated_predictions.csv,5050,4400,650,916,800,965,833,886,0.8015302512174342,0.03464653636572197,0.6481452787756816,0.04516497596696324,0.7161276507440013,0.036842101365025665,0.8154545454545454,0.02277850141250991,4400,0,1042,253,559,2546,0.8046332046332046,0.650843222985634,0.7196132596685083,0.8154545454545454
1,subkg_extractor,gpt-5.4-mini,zero_shot_manual,subkg_gpt-5.4-mini_zero_shot_manual,gpt-5.4-mini / zero_shot_manual,meta-prompting/results/gpt-5.4-mini/dataset1/zero_shot_manual/bfs_gated_predictions.csv,5050,4400,650,916,800,965,833,886,0.8051393614186959,0.030989339128180256,0.6465245897063486,0.04977969810556817,0.7156563613022174,0.03025169134422971,0.8120454545454545,0.04096728562435922,4400,0,1024,250,577,2549,0.8037676609105181,0.6396002498438476,0.7123478260869566,0.8120454545454545
1,subkg_extractor,gpt-5.4-mini,few_shot_manual,subkg_gpt-5.4-mini_few_shot_manual,gpt-5.4-mini / few_shot_manual,meta-prompting/results/gpt-5.4-mini/dataset1/few_shot_manual/bfs_gated_predictions.csv,5050,4400,650,916,800,965,833,886,0.812913034806526,0.028101121426774144,0.6868055020802921,0.026508345826653134,0.7437432003012542,0.012528565093374378,0.8279545454545455,0.026285079170872253,4400,0,1097,253,504,2546,0.8125925925925926,0.6851967520299813,0.743476787529651,0.8279545454545455
1,subkg_extractor,gpt-5.4-mini,zero_shot_meta,subkg_gpt-5.4-mini_zero_shot_meta,gpt-5.4-mini / zero_shot_meta,meta-prompting/results/gpt-5.4-mini/dataset1/zero_shot_meta/bfs_gated_predictions.csv,5050,4400,650,916,800,965,833,886,0.644039099128052,0.04479344322056837,0.7604040282194473,0.04936451483585234,0.694469593036641,0.01462595087727132,0.7579545454545454,0.030072825188263635,4400,0,1206,670,395,2129,0.6428571428571429,0.7532792004996877,0.6937014667817084,0.7579545454545454
1,subkg_extractor,gpt-5.4-mini,few_shot_meta,subkg_gpt-5.4-mini_few_shot_meta,gpt-5.4-mini / few_shot_meta,meta-prompting/results/gpt-5.4-mini/dataset1/few_shot_meta/bfs_gated_predictions.csv,5050,4400,650,916,800,965,833,886,0.6607635931601903,0.025437131094883676,0.7326294785337997,0.029021761901348368,0.6940248459537796,0.013090221146733205,0.7661363636363636,0.02882572437003762,4400,0,1167,595,434,2204,0.6623155505107832,0.7289194253591506,0.6940231935771634,0.7661363636363636
1,subkg_extractor,deepseek-v4-pro,zero_shot_manual,subkg_deepseek-v4-pro_zero_shot_manual,deepseek-v4-pro / zero_shot_manual,meta-prompting/results/deepseek-v4-pro/dataset1_zero_shot_manual_deepseek-v4-pro.csv,5050,4400,650,916,800,965,833,886,0.9449791838202941,0.023596359745642823,0.44866583557815254,0.024247626146350086,0.6081221034123349,0.02460420709035375,0.79,0.03187706493090851,4400,0,719,42,882,2757,0.9448094612352168,0.4490943160524672,0.6088060965283658,0.79
1,subkg_extractor,deepseek-v4-pro,few_shot_manual,subkg_deepseek-v4-pro_few_shot_manual,deepseek-v4-pro / few_shot_manual,meta-prompting/results/deepseek-v4-pro/dataset1_few_shot_manual_deepseek-v4-pro.csv,5050,4400,650,916,800,965,833,886,0.9463613631974787,0.01910275830827491,0.47306865447828644,0.014283080065300883,0.6306964626699259,0.014954858023174138,0.7986363636363636,0.02995084973205906,4400,0,757,42,844,2757,0.9474342928660826,0.4728294815740162,0.6308333333333334,0.7986363636363636
1,subkg_extractor,deepseek-v4-pro,zero_shot_meta,subkg_deepseek-v4-pro_zero_shot_meta,deepseek-v4-pro / zero_shot_meta,meta-prompting/results/deepseek-v4-pro/dataset1_zero_shot_meta_deepseek-v4-pro.csv,5050,4400,650,916,800,965,833,886,0.8765863834152332,0.013747273497289027,0.600381075444789,0.02187664262731503,0.7123179955415061,0.014217614486912082,0.8245454545454546,0.021416186163859523,4400,0,965,136,636,2663,0.8764759309718437,0.6027482823235478,0.7142857142857143,0.8245454545454546
1,subkg_extractor,deepseek-v4-pro,few_shot_meta,subkg_deepseek-v4-pro_few_shot_meta,deepseek-v4-pro / few_shot_meta,meta-prompting/results/deepseek-v4-pro/dataset1_few_shot_meta_deepseek-v4-pro.csv,5050,4400,650,916,800,965,833,886,0.8775903455041699,0.028370682999904605,0.6566188822639014,0.026401355683509896,0.7508277728210584,0.02237714524220048,0.8427272727272728,0.018544505472026688,4400,0,1056,147,545,2652,0.8778054862842892,0.6595877576514678,0.7532097004279599,0.8427272727272728
2,baseline,LSTM,,baseline_lstm,LSTM,reproduction/results/decisions/dataset2_lstm_dataset2_config.csv,868,868,0,160,114,265,135,194,0.7714399030587964,0.08746455346619117,0.9082660130999103,0.059925592697712325,0.8282332861022654,0.03893091511449632,0.7557603686635944,0.07112430903067019,868,0,518,156,56,138,0.7685459940652819,0.9024390243902439,0.8301282051282051,0.7557603686635944
2,baseline,Path Analogy,,baseline_path_analogy,Path Analogy,reproduction/results/decisions/dataset2_path_analogy_dataset2_config.csv,868,868,0,160,114,265,135,194,0.8004291947409248,0.0802925126007011,0.9113588989227993,0.06932228618046336,0.8463872806854243,0.03486372174028304,0.7845622119815668,0.06566937709035435,868,0,520,133,54,161,0.7963246554364471,0.9059233449477352,0.8475957620211898,0.7845622119815668
2,subkg_extractor,gemini-3.5-flash,zero_shot_manual,subkg_gemini-3.5-flash_zero_shot_manual,gemini-3.5-flash / zero_shot_manual,meta-prompting/results/gemini-3.5-flash/dataset2/zero_shot_manual/bfs_gated_predictions.csv,935,868,67,160,114,265,135,194,0.9519443033860661,0.029286596432563775,0.8975921293790925,0.03143586946641742,0.9233233824475837,0.01868499261031139,0.9032258064516129,0.029029293353874032,868,0,513,23,61,271,0.957089552238806,0.8937282229965157,0.9243243243243243,0.9032258064516129
2,subkg_extractor,gemini-3.5-flash,few_shot_manual,subkg_gemini-3.5-flash_few_shot_manual,gemini-3.5-flash / few_shot_manual,meta-prompting/results/gemini-3.5-flash/dataset2/few_shot_manual/bfs_gated_predictions.csv,935,868,67,160,114,265,135,194,0.940029195461644,0.034259529929678664,0.933510654294122,0.034180701329137725,0.9362787831014081,0.02741201028700159,0.9193548387096774,0.03713006584479103,868,0,535,31,39,263,0.9452296819787986,0.9320557491289199,0.9385964912280702,0.9193548387096774
2,subkg_extractor,gemini-3.5-flash,zero_shot_meta,subkg_gemini-3.5-flash_zero_shot_meta,gemini-3.5-flash / zero_shot_meta,meta-prompting/results/gemini-3.5-flash/dataset2/zero_shot_meta/bfs_gated_predictions.csv,935,868,67,160,114,265,135,194,0.9844378300265055,0.011858088823099893,0.776609872273674,0.04326339503268615,0.867422216129004,0.024958220276188357,0.8398617511520737,0.057824247774324426,868,0,441,6,133,288,0.9865771812080537,0.7682926829268293,0.8638589618021547,0.8398617511520737
2,subkg_extractor,gemini-3.5-flash,few_shot_meta,subkg_gemini-3.5-flash_few_shot_meta,gemini-3.5-flash / few_shot_meta,meta-prompting/results/gemini-3.5-flash/dataset2/few_shot_meta/bfs_gated_predictions.csv,935,868,67,160,114,265,135,194,0.9804520992523013,0.013355763055179916,0.8101980870460995,0.04201294119130977,0.8865069495963529,0.024697038424497223,0.8617511520737328,0.050742166759945945,868,0,462,8,112,286,0.9829787234042553,0.8048780487804879,0.8850574712643677,0.8617511520737328
2,subkg_extractor,gpt-5.4-mini,zero_shot_manual,subkg_gpt-5.4-mini_zero_shot_manual,gpt-5.4-mini / zero_shot_manual,meta-prompting/results/gpt-5.4-mini/dataset2/zero_shot_manual/bfs_gated_predictions.csv,935,868,67,160,114,265,135,194,0.961771396271133,0.023502547755259773,0.7828212630793003,0.04658550647482764,0.8618147105497099,0.023299375180938584,0.8341013824884793,0.0499185618239727,868,0,446,16,128,278,0.9653679653679653,0.7770034843205574,0.861003861003861,0.8341013824884793
