prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
cell transplantation,,cell transplantation,https://lod.nal.usda.gov/nalt/23441,0.99,False,skos:related,EXCLUDE
spores,,spores,https://lod.nal.usda.gov/nalt/15200,0.96,True,skos:broader; skos:narrower,EXCLUDE
adipogenesis,adipogenic differentiation,adipogenesis (adipogenic differentiation),https://lod.nal.usda.gov/nalt/70809,0.98,True,skos:related,EXCLUDE
adipokines,adipocytokines; adipokine,"adipokines (adipocytokines, adipokine)",https://lod.nal.usda.gov/nalt/132364,0.99,False,skos:related,EXCLUDE
adiponectin,,adiponectin,https://lod.nal.usda.gov/nalt/132363,0.99,False,skos:related,EXCLUDE
adipophilin,perilipin 2,adipophilin (perilipin 2),https://lod.nal.usda.gov/nalt/196331,0.95,False,skos:related,EXCLUDE
adipose tissue,,adipose tissue,https://lod.nal.usda.gov/nalt/4220,0.95,False,skos:related,EXCLUDE
animal ovaries,mammalian ovary,animal ovaries (mammalian ovary),https://lod.nal.usda.gov/nalt/29278,0.96,False,skos:broader; skos:narrower,EXCLUDE
antigen presentation,,antigen presentation,https://lod.nal.usda.gov/nalt/10340,0.94,False,skos:related,EXCLUDE
artificial membranes,biomimetic membranes; synthetic membranes,"artificial membranes (biomimetic membranes, synthetic membranes)",https://lod.nal.usda.gov/nalt/12600,0.99,False,skos:broader; skos:narrower,EXCLUDE
bacteria,,bacteria,https://lod.nal.usda.gov/nalt/2350,0.99,False,skos:related,EXCLUDE
beta-3 adrenergic receptors,,beta-3 adrenergic receptors,https://lod.nal.usda.gov/nalt/316457,0.99,False,skos:related,EXCLUDE
blood,,blood,https://lod.nal.usda.gov/nalt/18059,0.97,False,skos:broader; skos:narrower,EXCLUDE
blood cell counts,blood cell number; blood picture,"blood cell counts (blood cell number, blood picture)",https://lod.nal.usda.gov/nalt/18073,0.99,False,skos:related,EXCLUDE
bone resorption,osteoclastic bone loss; osteolysis,"bone resorption (osteoclastic bone loss, osteolysis)",https://lod.nal.usda.gov/nalt/18501,0.98,False,skos:related,EXCLUDE
California mastitis test,California milk test,California mastitis test (California milk test),https://lod.nal.usda.gov/nalt/243947,0.99,False,skos:related,EXCLUDE
cartilage,,cartilage,https://lod.nal.usda.gov/nalt/22713,0.98,False,skos:related,EXCLUDE
cathelicidins,cathelicidin peptides,cathelicidins (cathelicidin peptides),https://lod.nal.usda.gov/nalt/235861,0.99,False,skos:related,EXCLUDE
CD146 antigen,gicerin; melanoma cell adhesion molecule,"CD146 antigen (gicerin, melanoma cell adhesion molecule)",https://lod.nal.usda.gov/nalt/293046,0.97,False,skos:related,EXCLUDE
chloroplasts,,chloroplasts,https://lod.nal.usda.gov/nalt/25479,0.99,True,skos:related,EXCLUDE
chromaffin granules,,chromaffin granules,https://lod.nal.usda.gov/nalt/25729,0.95,True,skos:related,EXCLUDE
connective tissues,,connective tissues,https://lod.nal.usda.gov/nalt/4227,0.98,False,skos:broader; skos:narrower,EXCLUDE
corpus luteum,,corpus luteum,https://lod.nal.usda.gov/nalt/29277,0.92,False,skos:broader; skos:narrower,EXCLUDE
Cyanobacteria,Cyanochloronta; Cyanophyta; blue green algae; blue green bacteria; blue-green algae; blue-green bacteria,"Cyanobacteria (Cyanochloronta, Cyanophyta, blue green algae, blue green bacteria, blue-green algae, blue-green bacteria)",https://lod.nal.usda.gov/nalt/72,0.98,False,skos:related,EXCLUDE
desmin,skeletin,desmin (skeletin),https://lod.nal.usda.gov/nalt/190839,0.98,False,skos:related,EXCLUDE
drug delivery systems,drug delivery applications; drug delivery methods,"drug delivery systems (drug delivery applications, drug delivery methods)",https://lod.nal.usda.gov/nalt/4249,0.99,False,skos:related,EXCLUDE
endocrine glands,,endocrine glands,https://lod.nal.usda.gov/nalt/4351,0.98,False,skos:broader; skos:narrower,EXCLUDE
endothelins,endothelin-1; endothelin-2; endothelin-3,"endothelins (endothelin-1, endothelin-2, endothelin-3)",https://lod.nal.usda.gov/nalt/68181,0.97,False,skos:related,EXCLUDE
epithelial cell adhesion molecule,CD326 antigen; CD326 protein,"epithelial cell adhesion molecule (CD326 antigen, CD326 protein)",https://lod.nal.usda.gov/nalt/293063,0.95,False,skos:related,EXCLUDE
fluorescein diacetate,diacetylfluorescein,fluorescein diacetate (diacetylfluorescein),https://lod.nal.usda.gov/nalt/295790,0.99,False,skos:related,EXCLUDE
gametogenesis,gamete production; pollen grain development,"gametogenesis (gamete production, pollen grain development)",https://lod.nal.usda.gov/nalt/42261,0.97,False,skos:related,EXCLUDE
germplasm,germ plasm,germplasm (germ plasm),https://lod.nal.usda.gov/nalt/42649,0.95,False,skos:related,EXCLUDE
granuloma,,granuloma,https://lod.nal.usda.gov/nalt/748,0.96,False,skos:related,EXCLUDE
hemolymph,haemolymph,hemolymph (haemolymph),https://lod.nal.usda.gov/nalt/26359,0.99,False,skos:broader; skos:narrower,EXCLUDE
immune system,,immune system,https://lod.nal.usda.gov/nalt/8973,0.98,False,skos:broader; skos:narrower,EXCLUDE
immunological synapse,,immunological synapse,https://lod.nal.usda.gov/nalt/246169,0.9,True,skos:related,EXCLUDE
immunophenotype,,immunophenotype,https://lod.nal.usda.gov/nalt/329494,0.97,False,skos:related,EXCLUDE
innate immunity,innate immune response; innate immune system; natural immunity,"innate immunity (innate immune response, innate immune system, natural immunity)",https://lod.nal.usda.gov/nalt/105991,0.97,False,skos:related,EXCLUDE
leukemia inhibitory factor,,leukemia inhibitory factor,https://lod.nal.usda.gov/nalt/231910,0.99,False,skos:related,EXCLUDE
liposomes (artificial),,liposomes (artificial),https://lod.nal.usda.gov/nalt/12604,0.98,False,skos:related,EXCLUDE
mammary glands,,mammary glands,https://lod.nal.usda.gov/nalt/2896,0.99,False,skos:related,EXCLUDE
myelin sheath,medullary sheath; myelin,"myelin sheath (medullary sheath, myelin)",https://lod.nal.usda.gov/nalt/51883,0.99,False,skos:related,EXCLUDE
myogenic regulatory factors,,myogenic regulatory factors,https://lod.nal.usda.gov/nalt/287136,0.98,False,skos:related,EXCLUDE
nanomedicine,,nanomedicine,https://lod.nal.usda.gov/nalt/138085,0.99,False,skos:related,EXCLUDE
neoplasms,cancer (disease); cancers; neoplasia; tumors; tumours,"neoplasms (cancer (disease), cancers, neoplasia, tumors, tumours)",https://lod.nal.usda.gov/nalt/702,0.99,False,skos:related,EXCLUDE
neurosecretory system,neuroendocrine system,neurosecretory system (neuroendocrine system),https://lod.nal.usda.gov/nalt/29267,0.96,False,skos:broader; skos:narrower,EXCLUDE
niosomes,non-ionic surfactant vesicles,niosomes (non-ionic surfactant vesicles),https://lod.nal.usda.gov/nalt/238321,0.98,False,skos:related,EXCLUDE
ovarian follicles,dominant follicles; subordinate follicles,"ovarian follicles (dominant follicles, subordinate follicles)",https://lod.nal.usda.gov/nalt/30722,0.98,False,skos:broader; skos:narrower,EXCLUDE
